series,gsm,patient,histology,module,spots,assayed_fraction,eligible,mean_log1p_norm10000,mean_norm10000,coordinates_available
GSE267226,GSM8262704,GSM8262704,Control1,GENE_CXCL12,3266,1.0,True,0.3265405612907578,0.6986144730268283,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_AREG,3266,1.0,True,0.3009476012113239,0.5991886570141763,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_HBEGF,3266,1.0,True,0.3738258395294516,0.7401922328424216,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_FGF7,3266,1.0,True,0.262167333729888,0.5530584638838232,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_FGF10,3266,1.0,True,0.0831162272976905,0.1478066369948603,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_COL1A1,3266,1.0,True,1.7563955206187718,9.74109299924802,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_C1QA,3266,1.0,True,0.8478559085118259,2.292657410232805,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_KRT8,3266,1.0,True,0.745217329567579,1.6215307179442244,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_KRT5,3266,1.0,True,0.0405252447286419,0.0681471138730386,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_KRT17,3266,1.0,True,0.0297466226032171,0.0502612385420962,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_CLDN4,3266,1.0,True,0.6534151308781919,1.3724094178076651,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_SFTPC,3266,1.0,True,4.274387512266604,88.31163870198957,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_AGER,3266,1.0,True,2.473562743778556,14.023235133675,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_AQP5,3266,1.0,True,0.0600614744568271,0.1058225784514629,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_CD3D,3266,1.0,True,0.0277050951604181,0.0443087002325098,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_CD8A,3266,1.0,True,0.0642490215602957,0.1112300222558775,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_TNF,3266,1.0,True,0.0612421269537401,0.1029284690871693,False
GSE267226,GSM8262704,GSM8262704,Control1,GENE_IFNG,3266,1.0,True,0.0557439654949819,0.1002462918206188,False
GSE267226,GSM8262705,GSM8262705,Control2,HALLMARK_E2F_TARGETS,4857,0.955,True,0.2254170221981239,0.3636321216392259,False
GSE267226,GSM8262705,GSM8262705,Control2,HALLMARK_G2M_CHECKPOINT,4857,0.945,True,0.2856453853038121,0.5072399164012424,False
GSE267226,GSM8262705,GSM8262705,Control2,HALLMARK_GLYCOLYSIS,4857,0.955,True,0.3546999646086647,0.6944836037120241,False
GSE267226,GSM8262705,GSM8262705,Control2,HALLMARK_HYPOXIA,4857,0.975,True,0.5448630324169949,1.3152176829021358,False
GSE267226,GSM8262705,GSM8262705,Control2,HALLMARK_IL6_JAK_STAT3_SIGNALING,4857,0.9885057471264368,True,0.4933278980610183,1.3684227649652032,False
GSE267226,GSM8262705,GSM8262705,Control2,HALLMARK_INFLAMMATORY_RESPONSE,4857,0.99,True,0.376864758600141,0.779316448901621,False
GSE267226,GSM8262705,GSM8262705,Control2,HALLMARK_INTERFERON_GAMMA_RESPONSE,4857,0.94,True,0.4840047027951606,1.1524729071998263,False
GSE267226,GSM8262705,GSM8262705,Control2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,4857,0.93,True,0.544429477211039,1.018715582977447,False
GSE267226,GSM8262705,GSM8262705,Control2,HALLMARK_P53_PATHWAY,4857,0.95,True,0.532516072641541,1.2466392765265837,False
GSE267226,GSM8262705,GSM8262705,Control2,HALLMARK_TGF_BETA_SIGNALING,4857,0.9814814814814816,True,0.6931080637260176,1.4852291815892107,False
GSE267226,GSM8262705,GSM8262705,Control2,HALLMARK_TNFA_SIGNALING_VIA_NFKB,4857,0.98,True,0.589413466405714,1.4898357271981837,False
GSE267226,GSM8262705,GSM8262705,Control2,HALLMARK_WNT_BETA_CATENIN_SIGNALING,4857,0.9761904761904762,True,0.3373791629927427,0.5961015301254567,False
GSE267226,GSM8262705,GSM8262705,Control2,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,4857,0.98,True,0.505911165416776,1.4325562822013982,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_IL1B,4857,1.0,True,0.0644203740816478,0.092571562786004,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_IL1A,4857,1.0,True,0.0406782697864389,0.0564312065658759,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_IL1R1,4857,1.0,True,1.3017431913385753,3.163735829312614,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_IL1RAP,4857,1.0,True,0.2025109641645245,0.3020985800028505,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_IL1RN,4857,1.0,True,0.125299410050465,0.2164668440080988,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_IL1R2,4857,1.0,True,0.318164895543516,0.508333195863884,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_SIGIRR,4857,1.0,True,0.5594857100814976,0.9460297253985066,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_TGFB1,4857,1.0,True,0.2900185166480118,0.4477470207134786,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_CCL2,4857,1.0,True,0.3520427760203227,0.5966823864789107,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_CXCL12,4857,1.0,True,0.2817551355599514,0.4537189642303813,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_AREG,4857,1.0,True,0.3141072911535578,0.5060712467289434,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_HBEGF,4857,1.0,True,0.241074996615861,0.3639400537015238,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_FGF7,4857,1.0,True,0.1666469563114043,0.2452389883745258,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_FGF10,4857,1.0,True,0.0864762358726911,0.1244439086576593,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_COL1A1,4857,1.0,True,1.2360809383292957,3.4356676143009235,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_C1QA,4857,1.0,True,1.6999307942455757,5.609593270531802,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_KRT8,4857,1.0,True,1.122796106293528,2.5911693687835986,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_KRT5,4857,1.0,True,0.0541051586095443,0.1153924044581883,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_KRT17,4857,1.0,True,0.0165626365448552,0.0244611289955441,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_CLDN4,4857,1.0,True,0.6836120115776542,1.264936400665022,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_SFTPC,4857,1.0,True,5.165604374066191,210.51593925353964,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_AGER,4857,1.0,True,2.668200701100423,15.951993194800732,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_AQP5,4857,1.0,True,0.0176325630585924,0.0250624497659771,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_CD3D,4857,1.0,True,0.0393548755719766,0.0550818380375252,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_CD8A,4857,1.0,True,0.0497079733852812,0.0701987637992729,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_TNF,4857,1.0,True,0.0264623006320284,0.0355684386290002,False
GSE267226,GSM8262705,GSM8262705,Control2,GENE_IFNG,4857,1.0,True,0.0150022900009681,0.0204085457490043,False
GSE267228,GSM8262712,GSM8262712,S1A_IgG1,HALLMARK_E2F_TARGETS,2237,0.9195979899497488,True,0.225703035289118,0.3964213757842252,False
GSE267228,GSM8262712,GSM8262712,S1A_IgG1,HALLMARK_G2M_CHECKPOINT,2237,0.9128205128205128,True,0.2853514391174545,0.5274750147564278,False
